crash_id,crash_event,crash_type,number_fatalities
270,20241175,Multiple,1
271,20245061,Single,1
272,20243072,Single,1
273,20242232,Single,1
274,20244057,Single,1
275,20242173,Single,1
276,20241091,Single,1
277,20243201,Multiple,1
278,20242135,Multiple,1
279,20243225,Single,1
280,20245116,Single,1
281,20241167,Multiple,1
282,20244060,Single,1
283,20241268,Multiple,1
284,20244013,Multiple,1
285,20245002,Single,1
286,20243235,Multiple,2
287,20244059,Multiple,2
288,20245015,Single,1
289,20241266,Single,1
290,20243131,Single,1
291,20245111,Single,1
292,20242080,Single,1
293,20245160,Single,1
294,20241287,Multiple,1
295,20241152,Single,1
296,20243161,Multiple,1
297,20242042,Single,1
298,20243210,Single,1
299,20244025,Single,1
300,20243088,Single,1
301,20241211,Multiple,2
302,20242007,Multiple,1
303,20247050,Multiple,1
304,20245037,Single,1
305,20241204,Multiple,1
306,20244062,Single,1
307,20241137,Multiple,1
308,20243117,Multiple,1
309,20242081,Multiple,1
310,20242015,Multiple,1
311,20243206,Multiple,1
312,20242034,Single,1
313,20248003,Single,1
314,20244032,Multiple,1
315,20241153,Multiple,1
316,20242138,Multiple,1
317,20243198,Single,1
318,20243190,Single,1
319,20242107,Single,1
320,20243080,Single,1
321,20242204,Multiple,1
322,20242139,Single,1
323,20245086,Single,1
324,20247026,Single,1
325,20245063,Single,1
326,20241103,Single,1
327,20247025,Single,1
328,20242129,Single,1
329,20244027,Multiple,1
330,20243006,Single,1
331,20243108,Multiple,1
332,20243212,Multiple,1
333,20241237,Single,1
334,20241052,Single,1
335,20241308,Single,1
336,20246027,Single,1
337,20244072,Single,1
338,20245125,Single,1
339,20241195,Single,1
340,20244043,Multiple,1
341,20241102,Multiple,1
342,20243194,Single,1
343,20245148,Single,1
344,20246017,Multiple,2
345,20243070,Multiple,1
346,20243165,Multiple,1
347,20241063,Multiple,1
348,20241132,Multiple,1
349,20241292,Multiple,1
350,20245141,Single,1
351,20241189,Single,1
352,20241233,Multiple,4
353,20242115,Single,1
354,20242167,Multiple,1
355,20241016,Single,1
356,20246025,Single,1
357,20243234,Multiple,1
358,20241220,Multiple,1
359,20243002,Multiple,1
360,20241034,Multiple,1
361,20242012,Single,1
362,20243009,Multiple,2
363,20245018,Single,1
364,20241269,Single,1
365,20242093,Single,1
366,20242176,Multiple,1
367,20242255,Multiple,1
368,20241066,Single,1
369,20242175,Multiple,1
370,20243207,Single,1
371,20242029,Multiple,1
372,20241246,Multiple,1
373,20242046,Multiple,1
374,20241078,Single,1
375,20245065,Single,1
376,20243064,Single,1
377,20241013,Single,2
378,20246019,Single,1
379,20247019,Single,1
380,20247039,Single,1
381,20242257,Multiple,1
382,20241138,Multiple,1
383,20245013,Single,1
384,20247045,Single,1
385,20244014,Multiple,1
386,20242053,Single,1
387,20244069,Single,1
388,20243111,Multiple,1
389,20247028,Multiple,1
390,20243067,Single,1
391,20242186,Multiple,1
392,20242250,Single,1
393,20245078,Single,1
394,20243167,Single,1
395,20245150,Single,1
396,20243106,Single,1
397,20242098,Multiple,1
398,20241179,Multiple,1
399,20242070,Multiple,1
400,20243261,Multiple,1
401,20243227,Single,1
402,20242243,Multiple,1
403,20242102,Multiple,1
404,20245165,Single,1
405,20241109,Single,1
406,20243187,Single,1
407,20245028,Single,1
408,20241301,Multiple,1
409,20243135,Single,1
410,20245166,Single,1
411,20245110,Single,1
412,20241248,Multiple,1
413,20245030,Single,1
414,20243268,Single,1
415,20242071,Multiple,1
416,20241020,Single,1
417,20241294,Single,1
418,20241304,Multiple,1
419,20245112,Single,1
420,20242123,Single,1
421,20243197,Single,1
422,20242144,Multiple,1
423,20241199,Single,2
424,20243066,Single,1
425,20243203,Single,1
426,20243233,Multiple,1
427,20242209,Multiple,1
428,20242056,Multiple,1
429,20245152,Single,1
430,20242130,Multiple,1
431,20243109,Multiple,2
432,20243010,Single,1
433,20247035,Multiple,1
434,20243181,Multiple,1
435,20246018,Multiple,1
436,20241071,Single,1
437,20241186,Multiple,1
438,20243078,Multiple,1
439,20241223,Multiple,1
440,20245136,Single,1
441,20241221,Multiple,1
442,20241143,Multiple,1
443,20243242,Single,1
444,20247031,Multiple,1
445,20242189,Single,1
446,20245102,Single,1
447,20242170,Multiple,1
448,20243043,Multiple,1
449,20241140,Multiple,1
450,20244063,Multiple,1
451,20245010,Single,1
452,20241131,Single,1
453,20245019,Single,1
454,20242172,Multiple,1
455,20241111,Multiple,1
456,20242055,Single,1
457,20241017,Multiple,1
458,20244067,Single,1
459,20246024,Single,1
460,20241254,Single,2
461,20247004,Multiple,1
462,20243011,Multiple,1
463,20245147,Single,1
464,20246011,Multiple,1
465,20242177,Single,1
466,20241127,Single,1
467,20241210,Single,1
468,20242132,Single,2
469,20242184,Multiple,1
470,20243024,Single,1
471,20241253,Single,1
472,20245058,Single,3
473,20242224,Single,1
474,20243031,Single,1
475,20242069,Multiple,1
476,20245076,Single,1
477,20243156,Single,1
478,20242251,Single,1
479,20244034,Single,1
480,20242090,Single,1
481,20243231,Multiple,4
482,20242194,Single,1
483,20245085,Single,1
484,20243142,Single,1
485,20242043,Multiple,1
486,20243124,Multiple,1
487,20244007,Single,1
488,20242060,Single,1
489,20243104,Single,1
490,20244041,Single,1
491,20247043,Single,1
492,20246026,Single,1
493,20243021,Multiple,1
494,20245140,Single,1
495,20242155,Multiple,1
496,20242032,Single,1
497,20241285,Multiple,1
498,20245011,Single,1
499,20244066,Single,1
500,20242064,Multiple,1
501,20242164,Single,1
502,20244035,Single,1
503,20242252,Multiple,1
504,20243018,Single,1
505,20242086,Multiple,1
506,20243217,Multiple,1
507,20243251,Multiple,1
508,20243058,Single,1
509,20245053,Single,1
510,20247038,Single,1
511,20244046,Single,1
512,20245014,Single,1
513,20243085,Single,1
514,20244039,Single,1
515,20243240,Single,1
516,20247049,Multiple,1
517,20247017,Multiple,2
518,20246002,Multiple,2
519,20242099,Multiple,2
520,20247036,Single,2
521,20241176,Multiple,1
522,20243063,Single,1
523,20247022,Multiple,1
